model,accuracy,precision,recall,f1,roc_auc,fpr,params,bytes_per_param,weight_memory_kb,size_kb,median_us,p95_us,tn,fp,fn,tp
teacher,0.9983667332071656,0.9944097449877497,0.9968865672674438,0.995646615762015,0.9999880218099734,0.0012920205766239982,209346,4,817.7578125,834.1962890625,401.0000266134739,535.7300018658862,125223,162,90,28817
student-plain,0.9989954112980582,0.998508911852417,0.996125505932819,0.997315784916443,0.9999898347475908,0.0003429437333014316,2738,4,10.6953125,13.7783203125,59.59998816251755,105.70999002084135,125342,43,112,28795
student-kd,0.9986713504264642,0.9951352470328457,0.9977860033901823,0.9964588623447513,0.9999882277691777,0.0011245364278023686,2738,4,10.6953125,13.7431640625,59.00004180148244,111.80997826158999,125244,141,64,28843
student-pruned,0.9986000570347134,0.995201767406538,0.9973362853288131,0.9962678830603359,0.9999861203085185,0.001108585556486023,1242,4,4.8515625,7.9150390625,58.29997826367617,107.90000669658184,125246,139,77,28830
student-pruned-int8-static,0.9983343271200062,0.996430551705018,0.9946725706576262,0.9955507851046518,0.9999820648572872,0.0008214698727918012,1242,1,1.212890625,9.0830078125,591.8499955441803,754.7100394731387,125282,103,154,28753
student-pruned-int8-dynamic,0.9977510175511368,0.9958677685950413,0.9921126370775245,0.9939866562689542,0.9999653445014154,0.0009490768433225665,1242,1,1.212890625,6.6630859375,614.399992628023,766.8700185604392,125266,119,228,28679
