model,accuracy,precision,recall,f1,roc_auc,fpr,params,bytes_per_param,weight_memory_kb,size_kb,median_us,p95_us,tn,fp,fn,tp
teacher,0.5400569421642178,0.28237666034155595,0.6422406042078763,0.39227854357735187,0.6225568552516618,0.4906614049787821,210370,4,821.7578125,838.1962890625,235.699990298599,420.31999910250295,18844,18153,3979,7143
student-plain,0.4866892495687774,0.2711830131445905,0.7234310375831685,0.39448911551284566,0.6215167358277183,0.5844798226883261,2802,4,10.9453125,14.0283203125,60.89999806135893,110.04502011928703,15373,21624,3076,8046
student-kd,0.5005299361998379,0.2727880622228479,0.6969070311095127,0.3920983407527317,0.6119500693196658,0.5585047436278617,2802,4,10.9453125,13.9931640625,60.20005093887448,87.80502830632031,16334,20663,3371,7751
student-pruned,0.5470396309150232,0.28161060643260494,0.6187736018701673,0.38706411698537685,0.6211564709993131,0.47452496148336354,1274,4,4.9765625,8.0400390625,58.999983593821526,100.00000474974513,19441,17556,4240,6882
student-pruned-int8-static,0.5849456555622519,0.287810491991944,0.5396511418809566,0.37540655491618713,0.6208467784172803,0.4014379544287375,1274,1,1.244140625,9.0830078125,354.1000187397003,526.8099950626493,22145,14852,5120,6002
student-pruned-int8-dynamic,0.5285853820736092,0.2783868741853868,0.65294011868369,0.390346162115674,0.6206937894433204,0.5087980106495121,1274,1,1.244140625,6.6630859375,494.5499822497368,731.9299824303014,18173,18824,3860,7262
